,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
110,Gujarat,GJ,S06,10,1.0,Rajkot,Rajkot,864760.0,790949.0,1655717.0,590854.0,461740.0,1052595.0,2014.0,0.0
111,Gujarat,GJ,S06,11,1.0,Porbandar,Porbandar,807383.0,731833.0,1539223.0,468592.0,335821.0,804415.0,2014.0,0.0
112,Gujarat,GJ,S06,12,1.0,Jamnagar,Jamnagar,771003.0,699937.0,1470952.0,484080.0,364974.0,849055.0,2014.0,1.0
113,Gujarat,GJ,S06,13,1.0,Junagadh,Junagadh,772017.0,713524.0,1485543.0,513928.0,423553.0,937481.0,2014.0,1.0
114,Gujarat,GJ,S06,14,1.0,Amreli,Amreli,777662.0,708624.0,1486286.0,455668.0,349837.0,805505.0,2014.0,1.0
115,Gujarat,GJ,S06,15,1.0,Bhavnagar,Bhavnagar,834571.0,759936.0,1594531.0,516968.0,396013.0,912992.0,2014.0,0.0
116,Gujarat,GJ,S06,16,1.0,Anand,Anand,781118.0,715737.0,1496859.0,539236.0,427943.0,967179.0,2014.0,1.0
117,Gujarat,GJ,S06,17,1.0,Kheda,Kheda,833232.0,766227.0,1599476.0,540239.0,411083.0,951323.0,2014.0,0.0
118,Gujarat,GJ,S06,18,1.0,Panchmahal,Panch Mahals,820230.0,756434.0,1576667.0,512435.0,414555.0,926990.0,2014.0,0.0
119,Gujarat,GJ,S06,19,1.0,Dahod,Dohad,712183.0,699578.0,1411765.0,466791.0,428519.0,895311.0,2014.0,1.0
120,Gujarat,GJ,S06,20,1.0,Vadodara,Vadodara,849077.0,789218.0,1638321.0,621926.0,533715.0,1155656.0,2014.0,0.0
121,Gujarat,GJ,S06,21,1.0,Chhota Udaipur,Chhota Udaipur,798160.0,738143.0,1536305.0,590131.0,504411.0,1094542.0,2014.0,0.0
122,Gujarat,GJ,S06,22,1.0,Bharuch,Bharuch,734862.0,682658.0,1417548.0,562549.0,493760.0,1056319.0,2014.0,1.0
123,Gujarat,GJ,S06,23,1.0,Bardoli,Bardoli,829648.0,784448.0,1614106.0,636398.0,567973.0,1204371.0,2014.0,0.0
124,Gujarat,GJ,S06,24,1.0,Surat,Surat,803829.0,680212.0,1484068.0,538576.0,407928.0,946507.0,2014.0,1.0
125,Gujarat,GJ,S06,25,1.0,Navsari,Navsari,972090.0,792480.0,1764622.0,644265.0,512736.0,1157014.0,2014.0,0.0
126,Gujarat,GJ,S06,26,1.0,Valsad,Valsad,775073.0,736988.0,1512061.0,580599.0,538185.0,1118784.0,2014.0,1.0
127,Haryana,HR,S07,1,1.0,Ambala,Ambala,909641.0,782783.0,1692424.0,667712.0,551882.0,1219594.0,2014.0,0.0
128,Haryana,HR,S07,2,1.0,Kurukshetra,Krukshetra,807700.0,690759.0,1498459.0,618481.0,517170.0,1135651.0,2014.0,1.0
129,Haryana,HR,S07,3,1.0,Sirsa,Sirsa,886303.0,774254.0,1660557.0,692765.0,586098.0,1278863.0,2014.0,0.0
130,Haryana,HR,S07,4,1.0,Hisar,Hisar,825688.0,691918.0,1517606.0,637448.0,518049.0,1155497.0,2014.0,1.0
131,Haryana,HR,S07,5,1.0,Karnal,Karnal,913321.0,771000.0,1684321.0,666729.0,526629.0,1193358.0,2014.0,0.0
132,Haryana,HR,S07,6,1.0,Sonipat,Sonipat,777824.0,639364.0,1417188.0,551189.0,434412.0,985601.0,2014.0,1.0
